seq_id,file_path,start_ts,end_ts,hours,km,outage_minutes
io_vnbd_S-Vw16a_1,processed/io_vnbd/io_vnbd_S-Vw16a_1,0.0,587.8,0.1633,8.187,0.0
io_vnbd_S-T10_1,processed/io_vnbd/io_vnbd_S-T10_1,0.0,669.8,0.1861,6.562,0.0
io_vnbd_S-Vta3_1,processed/io_vnbd/io_vnbd_S-Vta3_1,0.0,64.4,0.0179,0.153,0.0
io_vnbd_S-Vta3_2,processed/io_vnbd/io_vnbd_S-Vta3_2,0.0,64.4,0.0179,0.153,0.0
io_vnbd_S-Vtb3_1,processed/io_vnbd/io_vnbd_S-Vtb3_1,0.0,823.9,0.2289,1.552,0.0
io_vnbd_S-Vtb3_2,processed/io_vnbd/io_vnbd_S-Vtb3_2,0.0,823.9,0.2289,1.552,0.0
io_vnbd_S-A8_1,processed/io_vnbd/io_vnbd_S-A8_1,0.0,6661.6,1.8504,136.57,0.0
io_vnbd_S-Vw2_1,processed/io_vnbd/io_vnbd_S-Vw2_1,0.0,5271.2,1.4642,97.803,0.0
io_vnbd_S-Vw2_2,processed/io_vnbd/io_vnbd_S-Vw2_2,0.0,5271.2,1.4642,97.803,0.0
io_vnbd_S-M_1,processed/io_vnbd/io_vnbd_S-M_1,0.0,6175.96,1.7155,228.736,0.0
io_vnbd_S-M_2,processed/io_vnbd/io_vnbd_S-M_2,0.0,6175.96,1.7155,228.736,0.0
io_vnbd_S-Vw16b_1,processed/io_vnbd/io_vnbd_S-Vw16b_1,0.0,112.5,0.0312,1.812,0.0
io_vnbd_S-Vta8_1,processed/io_vnbd/io_vnbd_S-Vta8_1,0.0,367.5,0.1021,3.29,0.0
io_vnbd_S-Vta8_2,processed/io_vnbd/io_vnbd_S-Vta8_2,0.0,367.5,0.1021,3.29,0.0
io_vnbd_S-Vfa02_1,processed/io_vnbd/io_vnbd_S-Vfa02_1,0.0,6752.2,1.8756,163.578,0.0
io_vnbd_S-Vfa02_2,processed/io_vnbd/io_vnbd_S-Vfa02_2,0.0,6752.2,1.8756,163.578,0.0
io_vnbd_S-S2_1,processed/io_vnbd/io_vnbd_S-S2_1,0.0,9201.1,2.5559,1565.075,0.0
io_vnbd_S-S2_2,processed/io_vnbd/io_vnbd_S-S2_2,0.0,9201.1,2.5559,1565.075,0.0
io_vnbd_S-S3c_1,processed/io_vnbd/io_vnbd_S-S3c_1,0.0,3718.2,1.0328,43.305,0.0
io_vnbd_S-S3c_2,processed/io_vnbd/io_vnbd_S-S3c_2,0.0,3718.2,1.0328,43.305,0.0
io_vnbd_S-Y1_1,processed/io_vnbd/io_vnbd_S-Y1_1,0.0,6690.8,1.8586,3058.906,0.0
io_vnbd_S-Vtb5_1,processed/io_vnbd/io_vnbd_S-Vtb5_1,0.0,6438.7,1.7885,110.485,0.0
io_vnbd_S-Vtb5_2,processed/io_vnbd/io_vnbd_S-Vtb5_2,0.0,6438.7,1.7885,110.485,0.0
io_vnbd_S-Vta10_1,processed/io_vnbd/io_vnbd_S-Vta10_1,0.0,150.1,0.0417,3.584,0.0
io_vnbd_S-Vta10_2,processed/io_vnbd/io_vnbd_S-Vta10_2,0.0,150.1,0.0417,3.584,0.0
io_vnbd_S-A6_1,processed/io_vnbd/io_vnbd_S-A6_1,0.0,5207.2,1.4464,353.663,0.0
io_vnbd_S-Vta1a_1,processed/io_vnbd/io_vnbd_S-Vta1a_1,0.0,2567.5,0.7132,40.52,0.0
io_vnbd_S-Vta1a_2,processed/io_vnbd/io_vnbd_S-Vta1a_2,0.0,2567.5,0.7132,40.52,0.0
io_vnbd_S-Vtb2_1,processed/io_vnbd/io_vnbd_S-Vtb2_1,0.0,571.1,0.1586,4.265,0.0
io_vnbd_S-Vtb2_2,processed/io_vnbd/io_vnbd_S-Vtb2_2,0.0,571.1,0.1586,4.265,0.0
io_vnbd_S-Vta28_1,processed/io_vnbd/io_vnbd_S-Vta28_1,0.0,420.9,0.1169,3.87,0.0
io_vnbd_S-Vta28_2,processed/io_vnbd/io_vnbd_S-Vta28_2,0.0,420.9,0.1169,3.87,0.0
io_vnbd_S-Vfa01_1,processed/io_vnbd/io_vnbd_S-Vfa01_1,0.0,1148.5,0.319,18.59,0.0
io_vnbd_S-Vfa01_2,processed/io_vnbd/io_vnbd_S-Vfa01_2,0.0,1148.5,0.319,18.59,0.0
io_vnbd_S-Vta4_1,processed/io_vnbd/io_vnbd_S-Vta4_1,0.0,178.8,0.0497,1.982,0.0
io_vnbd_S-Vta4_2,processed/io_vnbd/io_vnbd_S-Vta4_2,0.0,178.8,0.0497,1.982,0.0
io_vnbd_S-S4_1,processed/io_vnbd/io_vnbd_S-S4_1,0.0,5578.0,1.5494,4888.949,0.0
io_vnbd_S-S4_2,processed/io_vnbd/io_vnbd_S-S4_2,0.0,5578.0,1.5494,4888.949,0.0
io_vnbd_S-Vta1b_1,processed/io_vnbd/io_vnbd_S-Vta1b_1,0.0,95.3,0.0265,1.256,0.0
io_vnbd_S-Vta1b_2,processed/io_vnbd/io_vnbd_S-Vta1b_2,0.0,95.3,0.0265,1.256,0.0
io_vnbd_S-Vta25_1,processed/io_vnbd/io_vnbd_S-Vta25_1,0.0,64.5,0.0179,0.133,0.0
io_vnbd_S-Vta25_2,processed/io_vnbd/io_vnbd_S-Vta25_2,0.0,64.5,0.0179,0.133,0.0
io_vnbd_S-Vta12_1,processed/io_vnbd/io_vnbd_S-Vta12_1,0.0,60.9,0.0169,0.974,0.0
io_vnbd_S-Vta12_2,processed/io_vnbd/io_vnbd_S-Vta12_2,0.0,60.9,0.0169,0.974,0.0
io_vnbd_S-T2_1,processed/io_vnbd/io_vnbd_S-T2_1,0.0,7554.94,2.0986,365.019,0.0
io_vnbd_S-Vw6_1,processed/io_vnbd/io_vnbd_S-Vw6_1,0.0,128.0,0.0356,1.056,0.0
io_vnbd_S-Vw6_2,processed/io_vnbd/io_vnbd_S-Vw6_2,0.0,128.0,0.0356,1.056,0.0
io_vnbd_S-T11_1,processed/io_vnbd/io_vnbd_S-T11_1,0.0,568.9,0.158,2.287,0.0
